Title,Artist,Cluster
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky",2
"Face Down","The Red Jumpsuit Apparatus",1
"Firework","Katy Perry",2
"Halo","Beyoncé",1
"Hear Me Now","Alok",1
"Hello","Adele",1
"Higher Love","Kygo",1
"Hot In Herre","Nelly",2
"Human","The Killers",0
"Hung Up","Madonna",1
"ily (i love you baby) (feat. Emilee)","Surf Mesa",1
"In My Feelings","Drake",1
"In The Night","The Weeknd",0
"In Too Deep","Sum 41",2
"Intentions (feat. Quavo)","Justin Bieber",2
"International Love (feat. Chris Brown)","Pitbull",2
"Jealous","Labrinth",1
"Let Me Blow Ya Mind","Eve",2
"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",2
"Live Your Life","T.I.",0
"2002","Anne-Marie",2
"Losin Control","Russ",1
"Love On Top","Beyoncé",2
"Low Life (feat. The Weeknd)","Future",1
"Middle","DJ Snake",1
"MONTERO (Call Me By Your Name)","Lil Nas X",0
"Motley Crew","Post Malone",1
"Nevermind","Dennis Lloyd",1
"Nights Like This (feat. Ty Dolla $ign)","Kehlani",0
"No Hands (feat. Roscoe Dash & Wale)","Waka Flocka Flame",1
"oui","Jeremih",1
"Paris","The Chainsmokers",1
"Part Of Me","Katy Perry",2
"Perfect Strangers","Jonas Blue",2
"Pompeii","Bastille",2
"Praise God","Kanye West",1
"Price Tag","Jessie J",0
"Pure Water (with Migos)","Mustard",0
"Renegades","X Ambassadors",1
"Reptilia","The Strokes",0
"Ride Wit Me","Nelly",2
"Runaway (U & I)","Galantis",1
"Savage Love (Laxed - Siren Beat)","Jawsh 685",0
"Say It","Tory Lanez",1
"Secreto","Anuel AA",2
"Secrets","OneRepublic",0
"She Wolf","Shakira",2
"Slow Hands","Niall Horan",2
"Smooth Criminal","Alien Ant Farm",2
"Snowman","Sia",1
"Stir Fry","Migos",0
"Stole the Show","Kygo",1
"Stronger (What Doesn't Kill You)","Kelly Clarkson",2
"Sucker for Pain (with Wiz Khalifa & Imagine Dragons & Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",0
"Sunday Best","Surfaces",2
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",2
"Swang","Rae Sremmurd",1
"Take Care","Drake",1
"Take You Dancing","Jason Derulo",2
"Talking to the Moon","Bruno Mars",0
"The Climb","Miley Cyrus",0
"THE SCOTTS","THE SCOTTS",1
"Vaina Loca","Ozuna",2
"We Are Never Ever Getting Back Together","Taylor Swift",2
"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",2
"Without Me","Halsey",0
"You're Beautiful","James Blunt",1
"You've Got The Love","Florence + The Machine",1
"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1
"679 (feat. Remy Boyz)","Fetty Wap",0
"Airplanes (feat. Hayley Williams of Paramore)","B.o.B",1
"Bad Day","Daniel Powter",0
"Beautiful Day","U2",0
"Beautiful People (feat. Khalid)","Ed Sheeran",1
"Because Of You","Ne-Yo",2
"Behind Blue Eyes","Limp Bizkit",1
"Better Together","Jack Johnson",2
"Black Beatles","Rae Sremmurd",0
"Blueberry Faygo","Lil Mosey",1
"Chasing Pavements","Adele",1
"China","Anuel AA",2
"Circus","Britney Spears",2
"Cleanin' Out My Closet","Eminem",2
"Crank That (Soulja Boy)","Soulja Boy",2
"Cry Me a River","Justin Timberlake",1
"Dancing With A Stranger (with Normani)","Sam Smith",1
"Dangerous Woman","Ariana Grande",1
"Destination Calabria - Radio Edit","Alex Gaudino",1
"Domino","Jessie J",2
"Down On Me","Jeremih",0
"Eenie Meenie","Sean Kingston",2
"Fast Car","Jonas Blue",1
"Fat Lip","Sum 41",0
"Girlfriend","Avril Lavigne",0
"Good as Hell","Lizzo",2
"Good Life","Kanye West",1
"Habits (Stay High)","Tove Lo",1
"History","One Direction",2
"Hold On, We're Going Home","Drake",1
"I Don't Fuck With You","Big Sean",1
"I Hate Everything About You","Three Days Grace",1
"i'm so tired...","Lauv",1
"In My Place","Coldplay",0
"Infinity 2008 - Klaas Vocal Edit","Guru Josh Project",0
"Just A Dream","Nelly",1
"King Kunta","Kendrick Lamar",1
"L'Amour Toujours","Gigi D'Agostino",2
"Last Friday Night (T.G.I.F.)","Katy Perry",2
"Latch","Disclosure",1
"Let Me Love You","Mario",1
"Levitating (feat. DaBaby)","Dua Lipa",2
"Life is a Highway","Rascal Flatts",2
"Like A G6","Far East Movement",2
"Little Do You Know","Alex & Sierra",0
"Little Things","One Direction",1
"Live While We're Young","One Direction",2
"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",0
"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",0
"Mi Gente","J Balvin",1
"Mine","Bazzi",2
"Misery Business","Paramore",0
"Naive","The Kooks",2
"No One","Alicia Keys",1
"Nothin' on You (feat. Bruno Mars)","B.o.B",2
"One Call Away","Charlie Puth",1
"Paralyzer","Finger Eleven",2
"Plain Jane","A$AP Ferg",0
"pov","Ariana Grande",1
"Rain On Me (with Ariana Grande)","Lady Gaga",2
"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",2
"Roses","The Chainsmokers",1
"Sail","AWOLNATION",1
"212","Azealia Banks",2
"Shake That","Eminem",2
"Shout Out to My Ex","Little Mix",2
"Soltera - Remix","Lunay",2
"Somebody Else","The 1975",1
"Springsteen","Eric Church",2
"Stacy's Mom","Fountains Of Wayne",2
"Take A Look Around","Limp Bizkit",1
"The A Team","Ed Sheeran",1
"The Heart Wants What It Wants","Selena Gomez",2
"The Motto","Drake",0
"Too Good","Drake",1
"Trap Queen","Fetty Wap",2
"Troublemaker (feat. Flo Rida)","Olly Murs",2
"Under Control (feat. Hurts)","Calvin Harris",2
"Walk It Talk It","Migos",0
"Want to Want Me","Jason Derulo",2
"Where Have You Been","Rihanna",2
"Where Them Girls At (feat. Nicki Minaj & Flo Rida)","David Guetta",2
"Wherever You Will Go","The Calling",1
"Who Knew","P!nk",0
"With You","Chris Brown",2
"X","Nicky Jam",0
"You And Me","Lifehouse",0
"Your Power","Billie Eilish",1
"4 Minutes (feat. Justin Timberlake & Timbaland)","Madonna",2
"Adan y Eva","Paulo Londra",0
"Ain't It Fun","Paramore",2
"Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson)","Felix Jaehn",1
"All Summer Long","Kid Rock",2
"Apologize","OneRepublic",1
"Ayo","Chris Brown",2
"Bad and Boujee (feat. Lil Uzi Vert)","Migos",1
"Bad At Love","Halsey",2
"Bandido","Myke Towers",0
"Bartender (feat. Akon)","T-Pain",1
"Beautiful Liar","Beyoncé",1
"BICHOTA","KAROL G",0
"Black Skinhead","Kanye West",1
"Blue Jeans","GANGGA",1
"Boulevard of Broken Dreams","Green Day",0
"Boyfriend","Justin Bieber",1
"Breaking the Habit","Linkin Park",2
"Breezeblocks","alt-J",0
"Build a Bitch","Bella Poarch",2
"Cool Kids","Echosmith",2
"Dangerously","Charlie Puth",1
"Dirt Road Anthem","Jason Aldean",2
"Disco Inferno","50 Cent",2
"Don't Matter","Akon",1
"Don't Tell 'Em","Jeremih",1
"Everybody's Changing","Keane",1
"Fake Love","Drake",2
"Finesse - Remix: feat. Cardi B","Bruno Mars",2
"Foolish","Ashanti",2
"Forever","Drake",2
"Free Fallin' - Live at the Nokia Theatre Los Angeles CA - December 2007","John Mayer",0
"GIRL LIKE ME","Black Eyed Peas",1
"Hangover","Taio Cruz",2
"Hey Baby (Drop It to the Floor) (feat. T-Pain)","Pitbull",2
"Hot N Cold","Katy Perry",2
"I Bet You Look Good On The Dancefloor","Arctic Monkeys",2
"I Wanna Love You","Akon",1
"Intro","The xx",1
"La Camisa Negra","Juanes",2
"Last Nite","The Strokes",2
"Lego House","Ed Sheeran",0
"Light It Up (feat. Nyla & Fuse ODG) [Remix]","Major Lazer",2
"Loba","Shakira",2
"Look Alive (feat. Drake)","BlocBoy JB",2
"Love Lies (with Normani)","Khalid",0
"Love Song","Sara Bareilles",2
"Loyal (feat. Lil Wayne & Tyga)","Chris Brown",2
"Lust For Life (with The Weeknd)","Lana Del Rey",1
"Magic","Coldplay",1
"Meet Me Halfway","Black Eyed Peas",1
"Moth To A Flame (with The Weeknd)","Swedish House Mafia",1
"My Band","D12",2
"My Love (feat. T.I.)","Justin Timberlake",2
"Need You Now","Lady A",1
"Never Forget You","Zara Larsson",0
"Obsessed","Mariah Carey",1
"OMG (feat. will.i.am)","Usher",1
"On The Floor - Radio Edit","Jennifer Lopez",1
"Only Girl (In The World)","Rihanna",2
"Papaoutai","Stromae",1
"Paparazzi","Lady Gaga",1
"Party Rock Anthem","LMFAO",1
"Please Me","Cardi B",2
"Prayer in C - Robin Schulz Radio Edit","Lilly Wood and The Prick",2
"Rather Be (feat. Jess Glynne)","Clean Bandit",2
"Run It! (feat. Juelz Santana)","Chris Brown",1
"S&M","Rihanna",2
"Send My Love (To Your New Lover)","Adele",0
"She Looks So Perfect","5 Seconds of Summer",0
"Sit Still, Look Pretty","Daya",2
"Suddenly I See","KT Tunstall",2
"Suga Suga","Baby Bash",1
"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix","Lana Del Rey",1
"Superheroes","The Script",0
"Sweet Nothing (feat. Florence Welch)","Calvin Harris",2
"Symphony (feat. Zara Larsson)","Clean Bandit",1
"Teenage Dirtbag","Wheatus",2
"Teenage Dream","Katy Perry",2
"Telephone","Lady Gaga",2
"Thank You","Dido",2
"Therefore I Am","Billie Eilish",2
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental",2
"Through The Wire","Kanye West",2
"Trip","Ella Mai",1
"Waiting On the World to Change","John Mayer",0
"We Belong Together","Mariah Carey",2
"We're Good","Dua Lipa",2
"What the Hell","Avril Lavigne",0
"What You Know","Two Door Cinema Club",2
"Whatever You Like","T.I.",0
"What's Luv? (feat. Ja-Rule & Ashanti)","Fat Joe",2
"When The Sun Goes Down","Arctic Monkeys",0
"Where Are Ü Now (with Justin Bieber)","Jack Ü",0
"Worth It (feat. Kid Ink)","Fifth Harmony",2
"You Found Me","The Fray",0
"Your Body Is a Wonderland","John Mayer",2
"2 On (feat. ScHoolboy Q)","Tinashe",1
"Afterglow","Ed Sheeran",1
"Antidote","Travis Scott",1
"Anyone","Justin Bieber",1
"Apologize","Timbaland",1
"At My Worst","Pink Sweat$",2
"Back To December","Taylor Swift",0
"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",0
"Because of You","Kelly Clarkson",0
"Best Friend (feat. Doja Cat)","Saweetie",1
"Billionaire (feat. Bruno Mars)","Travie McCoy",2
"Bodak Yellow","Cardi B",2
"Bonita","J Balvin",2
"Bottoms Up (feat. Nicki Minaj)","Trey Songz",1
"Bubbly","Colbie Caillat",1
"Burn","Ellie Goulding",1
"Burn","Usher",2
"Butterfly","Crazy Town",2
"Caroline","Aminé",2
"Come & Get It","Selena Gomez",1
"Controlla","Drake",1
"Dangerous","Kardinal Offishall",2
"Don't","Ed Sheeran",2
"Don't Cha","The Pussycat Dolls",2
"double take","dhruv",1
"Drunk in Love (feat. Jay-Z)","Beyoncé",0
"Échame La Culpa","Luis Fonsi",2
"Every Teardrop Is a Waterfall","Coldplay",1
"Far Away","Nickelback",0
"Genie In a Bottle","Christina Aguilera",0
"Giant (with Rag'n'Bone Man)","Calvin Harris",2
"Good Life","OneRepublic",2
"Grace","Lewis Capaldi",1
"Grace Kelly","MIKA",2
"Green Light","Lorde",1
"Headstrong","Trapt",0
"Heroes (we could be)","Alesso",1
"I Know What You Did Last Summer","Shawn Mendes",2
"I Know What You Want (feat. Flipmode Squad)","Busta Rhymes",1
"I Need Your Love (feat. Ellie Goulding)","Calvin Harris",2
"I'm with You","Avril Lavigne",0
"Jar of Hearts","Christina Perri",1
"Leave a Light On","Tom Walker",1
"Lemonade","Internet Money",0
"Let It Go","James Bay",0
"Let's Fall in Love for the Night","FINNEAS",1
"Life Is Good (feat. Drake)","Future",0
"Lost Boy","Ruth B.",1
"Love in This Club (feat. Young Jeezy)","Usher",0
"LoveGame","Lady Gaga",2
"Money","Cardi B",1
"Mr. Saxobeat - Radio Edit","Alexandra Stan",2
"My Love (feat. Jess Glynne)","Route 94",2
"No Air (feat. Chris Brown)","Jordin Sparks",0
"No Type","Rae Sremmurd",1
"Primadonna","MARINA",1
"Reality","Lost Frequencies",2
"Rehab","Amy Winehouse",2
"Remember the Name (feat. Styles of Beyond)","Fort Minor",2
"Replay","Iyaz",1
"Rise","Jonas Blue",2
"River (feat. Ed Sheeran)","Eminem",2
"Roar","Katy Perry",0
"Shape of My Heart","Backstreet Boys",1
"Shotta Flow (feat. Blueface) [Remix]","NLE Choppa",2
"Since U Been Gone","Kelly Clarkson",1
"Sky Walker (feat. Travis Scott)","Miguel",0
"Slide (feat. Frank Ocean & Migos)","Calvin Harris",2
"SOS (feat. Aloe Blacc)","Avicii",1
"Spectrum (Say My Name) - Calvin Harris Remix","Florence + The Machine",2
"Speed of Sound","Coldplay",1
"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",1
"Taki Taki (feat. Selena Gomez & Ozuna & Cardi B)","DJ Snake",2
"Tequila","Dan + Shay",1
"The One That Got Away","Katy Perry",2
"Unsteady","X Ambassadors",1
"What’s Next","Drake",1
"When Love Takes Over (feat. Kelly Rowland)","David Guetta",2
"When You Love Someone","James TW",1
"X Gon' Give It To Ya","DMX",2
"Yo (Excuse Me Miss)","Chris Brown",1
"You","Lloyd",2
"You Make It Easy","Jason Aldean",0
"03' Bonnie & Clyde","JAY-Z",1
"Alejandro","Lady Gaga",1
"Alone","Marshmello",0
"A-Punk","Vampire Weekend",0
"Back To You","Selena Gomez",1
"Bulletproof","La Roux",2
"Burnin' Up","Jonas Brothers",2
"Cold (feat. Future)","Maroon 5",1
"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",1
"Crack A Bottle","Eminem",0
"Day 'N' Nite (Nightmare)","Kid Cudi",2
"do re mi","blackbear",1
"ELEMENT.","Kendrick Lamar",0
"Empire State of Mind (Part II) Broken Down","Alicia Keys",1
"Everything","Michael Bublé",1
"Fetish (feat. Gucci Mane)","Selena Gomez",1
"Fire Burning","Sean Kingston",2
"Follow Me","Uncle Kracker",2
"Hate That I Love You","Rihanna",2
"High By The Beach","Lana Del Rey",1
"Higher","Creed",0
"Hold Back The River","James Bay",0
"Home","Phillip Phillips",1
"Hot N*gga","Bobby Shmurda",0
"How Do You Sleep?","Sam Smith",1
"Hurricane","Kanye West",1
"Hurts So Good","Astrid S",1
"I Kissed A Girl","Katy Perry",2
"I Need a Girl (Pt. 2) [feat. Loon & Ginuwine & Mario Winans]","Diddy",0
"I'm Like A Bird","Nelly Furtado",1
"I'm Still in Love with You (feat. Sasha)","Sean Paul",2
"Jackie Chan","Tiësto",2
"Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix","Jennifer Lopez",2
"Jumpin' Jumpin'","Destiny's Child",2
"Jumpman","Drake",2
"King","Years & Years",1
"Kiss Kiss (feat. T-Pain)","Chris Brown",0
"Look At Me Now (feat. Lil' Wayne & Busta Rhymes)","Chris Brown",0
"Man Of The Year","ScHoolboy Q",1
"Mercy","Kanye West",0
"Never Say Never","Justin Bieber",2
"On The Ground","ROSÉ",0
"One Only","Pamungkas",0
"Otro Trago","Sech",0
"Party Up","DMX",0
"Pesan Terakhir","Lyodra",1
"Ride","Lana Del Rey",1
"Right Now (Na Na Na)","Akon",2
"Roses","Outkast",1
"Same Old Love","Selena Gomez",1
"She Doesn't Mind","Sean Paul",2
"She Hates Me","Puddle Of Mudd",2
"She Moves In Her Own Way","The Kooks",0
"Shivers","Ed Sheeran",2
"Skinny Love","Birdy",0
"Skinny Love","Bon Iver",1
"Someday","The Strokes",2
"Someday","Nickelback",0
"Sway","Michael Bublé",2
"Taste (feat. Offset)","Tyga",1
"Te Amo","Rihanna",0
"Time to Pretend","MGMT",1
"Too Little Too Late","JoJo",2
"Touch The Sky","Kanye West",2
"Trouble","Cage The Elephant",1
"Tuesday (feat. Danelle Sandoval)","Burak Yeter",2
"U Got It Bad","Usher",2
"U Remind Me","Usher",2
"Unfaithful","Rihanna",0
"Up","Cardi B",0
"Water Under the Bridge","Adele",1
"We R Who We R","Kesha",2
"What Goes Around.../...Comes Around (Interlude)","Justin Timberlake",1
"Whatcha Say","Jason Derulo",0
"When I Grow Up","The Pussycat Dolls",1
"Whoopty","CJ",0
"Without You (feat. Usher)","David Guetta",1
"WITHOUT YOU (with Miley Cyrus)","The Kid LAROI",1
"1 2 3 (feat. Jason Derulo & De La Ghetto)","Sofía Reyes",2
"7 Days","Craig David",2
"All My Friends (feat. Tinashe & Chance the Rapper)","Snakehips",1
"All Night","The Vamps",0
"Amazed","Lonestar",0
"As Good As I Once Was","Toby Keith",2
"Bad Things (with Camila Cabello)","Machine Gun Kelly",0
"Banana Pancakes","Jack Johnson",2
"Bangarang (feat. Sirah)","Skrillex",2
"Beautiful Soul","Jesse McCartney",2
"BedRock","Young Money",0
"Beggin (original version)","Madcon",2
"Beverly Hills","Weezer",2
"Big Girls Don't Cry (Personal)","Fergie",1
"Big Pimpin'","JAY-Z",2
"Body","Megan Thee Stallion",1
"Brianstorm","Arctic Monkeys",0
"Confessions Part II","Usher",2
"Do It Again","Pia Mia",1
"Donald Trump","Mac Miller",2
"emotions","iann dior",1
"FEFE","6ix9ine",1
"Get the Party Started","P!nk",2
"Goodbye My Lover","James Blunt",1
"Hold On","Justin Bieber",0
"Hollaback Girl","Gwen Stefani",2
"Home","Michael Bublé",1
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","Machine Gun Kelly",1
"I Need A Doctor","Dr. Dre",0
"If U Seek Amy","Britney Spears",2
"I'm a Slave 4 U","Britney Spears",2
"I'm Sprung","T-Pain",1
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",2
"Irreplaceable","Beyoncé",0
"iSpy (feat. Lil Yachty)","KYLE",2
"Let Her Go","Passenger",1
"Lollipop","Lil Wayne",0
"Lost Cause","Billie Eilish",1
"MotorSport","Migos",1
"My Sacrifice","Creed",0
"New Flame (feat. Usher & Rick Ross)","Chris Brown",0
"No Limit","G-Eazy",0
"One Time","Justin Bieber",0
"Panini","Lil Nas X",0
"Play Hard (feat. Ne-Yo & Akon)","David Guetta",2
"Plug Walk","Rich The Kid",1
"Pray For Me (with Kendrick Lamar)","The Weeknd",1
"Princess of China","Coldplay",1
"Rockstar","Nickelback",0
"Sandstorm","Darude",0
"Saturday Sun","Vance Joy",2
"Say Something (feat. Chris Stapleton)","Justin Timberlake",1
"Shut Up And Drive","Rihanna",2
"Sing","Ed Sheeran",2
"Sit Next to Me","Foster The People",2
"Skate","Bruno Mars",2
"Slide Away","Miley Cyrus",0
"Slow Jamz","Twista",0
"Smile","Lily Allen",2
"Sofia","Alvaro Soler",2
"Sonnentanz - Sun Don't Shine","Klangkarussell",1
"Spotlight","Marshmello",0
"Stickwitu","The Pussycat Dolls",1
"Stop Crying Your Heart Out","Oasis",1
"Suge","DaBaby",2
"Survivor","Destiny's Child",0
"Talk (feat. Disclosure)","Khalid",1
"The Ocean (feat. Shy Martin)","Mike Perry",1
"The Show Goes On","Lupe Fiasco",0
"The Time (Dirty Bit)","Black Eyed Peas",2
"This Ain't A Scene, It's An Arms Race","Fall Out Boy",0
"This Is America","Childish Gambino",1
"Thong Song","Sisqo",2
"Tonight Tonight","Hot Chelle Rae",2
"Turn Down for What","DJ Snake",1
"We Own It (Fast & Furious)","2 Chainz",0
"Youth of the Nation","P.O.D.",1
"7/11","Beyoncé",0
"A Milli","Lil Wayne",0
"After School","Weeekly",0
"Again","Lenny Kravitz",2
"Alaska","Maggie Rogers",1
"Axel F","Crazy Frog",2
"Bailando - Spanish Version","Enrique Iglesias",2
"Beautiful","Christina Aguilera",1
"Beneath Your Beautiful (feat. Emeli Sandé)","Labrinth",1
"Best Thing I Never Had","Beyoncé",1
"Better","Khalid",1
"Boom Boom Pow","Black Eyed Peas",2
"Bounce Back","Big Sean",1
"Breathless","The Corrs",2
"Broken Strings","James Morrison",1
"Buttons","The Pussycat Dolls",0
"Candy","Robbie Williams",2
"Can't Fight The Moonlight","LeAnn Rimes",2
"Clout (feat. Cardi B)","Offset",0
"Corazón (feat. Nego do Borel)","Maluma",0
"Country Grammar (Hot Shit)","Nelly",0
"Dakota","Stereophonics",0
"Daylight","Maroon 5",1
"Deuces (feat. Tyga & Kevin McCall)","Chris Brown",1
"Do You Remember","Jay Sean",2
"Don't Wanna Know (feat. Kendrick Lamar)","Maroon 5",1
"DONTTRUSTME","3OH!3",2
"DUELE EL CORAZON (feat. Wisin)","Enrique Iglesias",2
"Fancy","Iggy Azalea",1
"Freaky Friday (feat. Chris Brown)","Lil Dicky",2
"Get Up (Rattle) [feat. Far East Movement] - Vocal Edit","Bingo Players",2
"Get Ur Freak On","Missy Elliott",0
"Gives You Hell","The All-American Rejects",1
"H.O.L.Y.","Florida Georgia Line",1
"Hands To Myself","Selena Gomez",1
"Haven't Met You Yet","Michael Bublé",2
"He Wasn't Man Enough","Toni Braxton",2
"Here","Alessia Cara",1
"Higher Power","Coldplay",0
"I Believe in a Thing Called Love","The Darkness",2
"I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit","Avicii",2
"I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster","Mario Winans",1
"I Love It (feat. Charli XCX)","Icona Pop",2
"I Write Sins Not Tragedies","Panic! At The Disco",0
"I'm On One","DJ Khaled",0
"It Girl","Jason Derulo",1
"Jesus Walks","Kanye West",2
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")","P!nk",0
"Just Lose It","Eminem",2
"Keep Your Head Up","Andy Grammer",2
"Kenangan Manis","Pamungkas",0
"King's Dead (with Kendrick Lamar & Future & James Blake)","Jay Rock",0
"Lifestyles of the Rich & Famous","Good Charlotte",2
"Live Like You Were Dying","Tim McGraw",0
"Lose Yourself to Dance (feat. Pharrell Williams)","Daft Punk",2
"Mercy","Duffy",2
"More - RedOne Jimmy Joker Remix","Usher",2
"Motivation","Normani",0
"My Humps","Black Eyed Peas",2
"My Love","Westlife",0
"My Type","Saweetie",2
"Over My Head (Cable Car)","The Fray",2
"Panda","Desiigner",0
"Pjanoo - Radio Edit","Eric Prydz",2
"Pocketful of Sunshine","Natasha Bedingfield",2
"Post to Be (feat. Chris Brown & Jhene Aiko)","Omarion",2
"Ready or Not","Bridgit Mendler",2
"Ridin'","Chamillionaire",2
"Right Above It","Lil Wayne",1
"Rock DJ","Robbie Williams",2
"Rock Wit U (Awww Baby)","Ashanti",2
"Savin' Me","Nickelback",0
"Second Chance","Shinedown",1
"September Song","JP Cooper",1
"Sexy And I Know It","LMFAO",2
"Sexy Love","Ne-Yo",1
"Show Me (feat. Chris Brown)","Kid Ink",2
"Slippery (feat. Gucci Mane)","Migos",2
"Some Nights","fun.",1
"Superstar","Jamelia",2
"Sweat - Remix","Snoop Dogg",2
"The Edge Of Glory","Lady Gaga",1
"The Greatest (feat. Kendrick Lamar)","Sia",0
"The Sweet Escape","Gwen Stefani",2
"The Way You Move (feat. Sleepy Brown)","Outkast",2
"This Is What It Feels Like","Armin van Buuren",1
"Touch My Body","Mariah Carey",2
"True Love (feat. Lily Allen)","P!nk",0
"Turn Me On","Kevin Lyttle",2
"What Hurts The Most","Rascal Flatts",0
"When I'm Gone","Eminem",2
"When I'm Gone","3 Doors Down",0
"Wherever I Go","OneRepublic",1
"Who's That Chick? (feat. Rihanna)","David Guetta",2
"Wide Awake","Katy Perry",0
"Work Bitch","Britney Spears",2
"Work It","Missy Elliott",2
"Yeah 3x","Chris Brown",2
"You Da One","Rihanna",2
"You Know You Like It","DJ Snake",0
"You Make Me Feel... (feat. Sabi)","Cobra Starship",2
"Your Love Is My Drug","Kesha",2
"2 Phones","Kevin Gates",2
"All Eyes on You (feat. Chris Brown & Nicki Minaj)","Meek Mill",1
"Arcade (feat. FLETCHER)","Duncan Laurence",1
"Ayo Technology","50 Cent",0
"Baby Boy (feat. Sean Paul)","Beyoncé",2
"Barking","Ramz",1
"Be Careful","Cardi B",0
"Big Green Tractor","Jason Aldean",0
"Birthday Sex","Jeremih",1
"Blow","Kesha",2
"Carry Out (Featuring Justin Timberlake)","Timbaland",1
"Chocolate","The 1975",2
"Close","Nick Jonas",1
"Coming Home","Diddy - Dirty Money",0
"Diamonds","Rihanna",1
"Dick (feat. Doja Cat)","StarBoi3",1
"Dirrty (feat. Redman)","Christina Aguilera",1
"E.T.","Katy Perry",0
"Fast Car","Jonas Blue",1
"Hero","Enrique Iglesias",1
"Hit 'Em Up Style (Oops!)","Blu Cantrell",2
"I Just Couldn't Save You Tonight - Story of Kale - Original Motion Picture Soundtrack","Ardhito Pramono",1
"I Miss You (feat. Julia Michaels)","Clean Bandit",1
"I Need A Dollar","Aloe Blacc",2
"If We Ever Meet Again (Featuring Katy Perry)","Timbaland",1
"In the Shadows","The Rasmus",2
"It's Only Me - Studio Version","Kaleb J",1
"It's You","Sezairi",1
"Just Like a Pill","P!nk",1
"Ladbroke Grove","AJ Tracey",2
"Landslide","The Chicks",0
"Last Request","Paolo Nutini",1
"Leave Me Alone","Flipp Dinero",0
"Let Me Love You (Until You Learn To Love Yourself)","Ne-Yo",1
"Like Toy Soldiers","Eminem",1
"Little Lion Man","Mumford & Sons",0
"Lost Without You","Freya Ridings",1
"Lovers And Friends","Lil Jon & The East Side Boyz",0
"Man Down","Rihanna",0
"Maps","Yeah Yeah Yeahs",1
"Mine","Taylor Swift",2
"Move Ya Body","Nina Sky",2
"My Life Would Suck Without You","Kelly Clarkson",0
"Nasty Girl (feat. Diddy & Nelly & Jagged Edge & Avery Storm) - 2005 Remaster","The Notorious B.I.G.",2
"Oblivion","Grimes",0
"One Day / Reckoning Song (Wankelmut Remix) - Radio Edit","Asaf Avidan",2
"Out Of Reach","GABRIELLE",0
"Picture (feat. Sheryl Crow)","Kid Rock",1
"Please Don't Go","Joel Adams",1
"Rich Girl","Gwen Stefani",2
"Right Thurr","Chingy",2
"Rock This Party - Everybody Dance Now","Bob Sinclar",2
"Rumors (feat. Cardi B)","Lizzo",2
"See You Again","Miley Cyrus",2
"Shake It Out","Florence + The Machine",1
"Single Ladies (Put a Ring on It)","Beyoncé",0
"Solo Dance","Martin Jensen",1
"Stay","Rihanna",1
"Steady, As She Goes","The Raconteurs",1
"Strip That Down (feat. Quavo)","Liam Payne",1
"Sunset Lover","Petit Biscuit",1
"Take It Off","Kesha",2
"Toosie Slide","Drake",2
"You Don't Own Me (feat. G-Eazy)","SAYGRACE",0
"You Rock My World","Michael Jackson",2
"Youngblood","5 Seconds of Summer",1
"Yummy","Justin Bieber",0
"Absolutely (Story of a Girl) - Radio Mix","Nine Days",2
"Ain't No Rest For The Wicked - Original Version","Cage The Elephant",0
"All Time Low","Jon Bellion",1
"As Long As You Love Me","Justin Bieber",0
"Battle Scars (with Guy Sebastian)","Lupe Fiasco",0
"Be Without You - Kendu Mix","Mary J. Blige",0
"Because I Got High","Afroman",0
"Black Widow","Iggy Azalea",0
"Blow Me (One Last Kiss)","P!nk",2
"Boo'd Up","Ella Mai",1
"Bye Bye Bye","*NSYNC",0
"Cheap Thrills (feat. Sean Paul)","Sia",2
"Closer","Ne-Yo",2
"Cry for You","September",2
"Dead And Gone","T.I.",0
"Differences","Ginuwine",1
"Dragostea din tei","O-Zone",2
"Drift Away","Uncle Kracker",0
"Fallin'","Alicia Keys",1
"Fighter","Christina Aguilera",0
"For the First Time","The Script",0
"Frontin' (feat. Jay-Z) - Club Mix","Pharrell Williams",2
